,Price,SMA,upper_band,lower_band
2007-12-31,99.27,,,
2008-01-02,96.14,,,
2008-01-03,96.34,,,
2008-01-04,92.87,,,
2008-01-07,91.88,,,
2008-01-08,89.62,,,
2008-01-09,90.28,,,
2008-01-10,91.76,,,
2008-01-11,89.7,,,
2008-01-14,94.53,,,
2008-01-15,93.52,,,
2008-01-16,93.33,,,
2008-01-17,92.85,,,
2008-01-18,94.96,,,
2008-01-22,92.96,,,
2008-01-23,97.44,,,
2008-01-24,98.18,,,
2008-01-25,95.99,,,
2008-01-28,96.41,,,
2008-01-29,97.44,94.2735,99.9642580662,88.5827419338
2008-01-30,97.02,94.161,99.514849181,88.807150819
2008-01-31,98.36,94.272,99.8844170607,88.6595829393
2008-02-01,100.17,94.4635,100.609061599,88.3179384009
2008-02-04,99.12,94.776,101.209273375,88.3427266251
2008-02-05,96.45,95.0045,101.328381137,88.6806188633
2008-02-06,95.5,95.2985,101.092933899,89.5040661009
2008-02-07,94.34,95.5015,100.820634378,90.1823656225
2008-02-08,95.2,95.6735,100.697506684,90.6494933163
2008-02-11,96.92,96.0345,100.218622747,91.8503772535
2008-02-12,98.21,96.2185,100.447469142,91.9895308585
2008-02-13,99.95,96.54,100.881350748,92.1986492522
2008-02-14,97.84,96.7655,100.866685836,92.6643141638
2008-02-15,97.87,97.0165,100.702103714,93.330896286
2008-02-19,96.8,97.1085,100.667649958,93.5493500423
2008-02-20,99.42,97.4315,100.550786524,94.3122134756
2008-02-21,98.57,97.488,100.648596879,94.327403121
2008-02-22,99.63,97.5605,100.8517546,94.2692454
2008-02-25,101.48,97.835,101.472312484,94.1976875161
2008-02-26,105.44,98.2865,103.197734275,93.3752657249
2008-02-27,107.36,98.7825,105.128034277,92.4369657228
2008-02-28,106.24,99.2435,106.344575604,92.1424243958
2008-02-29,104.96,99.5735,107.102249879,92.0447501212
2008-03-03,105.3,99.83,107.781974267,91.8780257334
2008-03-04,106.67,100.2075,108.714987414,91.7000125857
2008-03-05,106.37,100.7035,109.442157671,91.9648423288
2008-03-06,103.73,101.115,109.593161419,92.6368385806
2008-03-07,105.04,101.65,109.66586322,93.6341367802
2008-03-10,105.1,102.145,109.69283064,94.5971693601
2008-03-11,107.39,102.6685,110.142449917,95.1945500826
2008-03-12,107.92,103.154,110.669884652,95.6381153478
2008-03-13,106.85,103.499,111.029076955,95.9689230451
2008-03-14,106.23,103.9185,111.045162391,96.7918376085
2008-03-17,106.52,104.351,110.963453641,97.7385463587
2008-03-18,109.16,104.969,110.88351346,99.0544865396
2008-03-19,107.8,105.388,110.814522003,99.9614779967
2008-03-20,109.08,105.9135,110.536022779,101.290977221
2008-03-24,109.76,106.42,110.304625566,102.535374434
2008-03-25,108.75,106.7835,110.029928159,103.537071841
2008-03-26,107.78,106.9005,110.111530168,103.689469832
2008-03-27,106.49,106.857,110.065390972,103.648609028
2008-03-28,105.62,106.826,110.071261485,103.580738515
2008-03-31,106.14,106.885,110.028738974,103.741261026
2008-04-01,107.39,106.9895,110.049224618,103.929775382
2008-04-02,105.84,106.948,110.048217989,103.847782011
2008-04-03,106.95,106.977,110.065280734,103.888719266
2008-04-04,106.71,107.126,109.816618399,104.435381601
2008-04-07,107.22,107.235,109.740030728,104.729969272
2008-04-08,107.19,107.3395,109.635147827,105.043852173
2008-04-09,107.65,107.3525,109.652292897,105.052707103
2008-04-10,109.5,107.4315,109.914615827,104.948384173
2008-04-11,106.94,107.436,109.915001497,104.956998503
2008-04-14,108.12,107.5305,109.959521679,105.101478321
2008-04-15,108.01,107.605,109.99460468,105.21539532
2008-04-16,111.06,107.7,110.470597503,104.929402497
2008-04-17,113.46,107.983,111.767395106,104.198604894
2008-04-18,114.68,108.263,113.07758792,103.44841208
2008-04-21,114.63,108.5065,114.073660384,102.939339616
2008-04-22,114.01,108.7695,114.857692109,102.681307891
2008-04-23,113.94,109.0775,115.565084499,102.589915501
2008-04-24,114.49,109.4775,116.272569033,102.682430967
2008-04-25,113.46,109.8695,116.632064057,103.106935943
2008-04-28,112.18,110.1715,116.770279074,103.572720926
2008-04-29,113.25,110.4645,117.063652976,103.865347024
2008-04-30,111.27,110.736,116.970800128,104.501199872
2008-05-01,113.95,111.086,117.210867002,104.961132998
2008-05-02,113.56,111.4285,117.283172538,105.573827462
2008-05-05,112.5,111.6925,117.214882686,106.170117314
2008-05-06,113.22,111.994,117.12598597,106.86201403
2008-05-07,114.91,112.357,117.214970553,107.499029447
2008-05-08,115.63,112.6635,117.535993256,107.791006744
2008-05-09,114.83,113.058,117.20257972,108.91342028
2008-05-12,115.93,113.4485,117.073212112,109.823787888
2008-05-13,117.17,113.9065,116.897189236,110.915810764
2008-05-14,118.04,114.2555,117.468378526,111.042621474
2008-05-15,118.91,114.528,118.327687522,110.728312478
2008-05-16,118.31,114.7095,118.869466979,110.549533021
