,Date,Symbol,BB_Strat,Type
0,2008-02-25,IBM,BUY,Short
1,2008-03-27,IBM,SELL,Long
2,2008-04-16,IBM,BUY,Short
3,2008-05-21,IBM,SELL,Long
4,2008-06-27,IBM,BUY,Long
5,2008-07-08,IBM,SELL,Short
6,2008-07-18,IBM,BUY,Short
7,2008-08-11,IBM,SELL,Long
8,2008-08-19,IBM,BUY,Long
9,2008-09-19,IBM,SELL,Short
10,2008-10-01,IBM,BUY,Long
11,2008-10-30,IBM,SELL,Short
12,2008-11-20,IBM,BUY,Long
13,2008-12-03,IBM,SELL,Short
14,2009-01-06,IBM,BUY,Short
15,2009-01-14,IBM,SELL,Long
16,2009-01-21,IBM,BUY,Short
17,2009-02-17,IBM,SELL,Long
18,2009-02-23,IBM,BUY,Long
19,2009-02-27,IBM,SELL,Short
20,2009-03-23,IBM,BUY,Short
21,2009-04-27,IBM,SELL,Long
22,2009-04-29,IBM,BUY,Short
23,2009-05-08,IBM,SELL,Long
24,2009-06-01,IBM,BUY,Short
25,2009-06-18,IBM,SELL,Long
26,2009-07-02,IBM,BUY,Long
27,2009-07-15,IBM,SELL,Short
28,2009-07-16,IBM,BUY,Short
29,2009-08-17,IBM,SELL,Long
30,2009-09-02,IBM,BUY,Long
31,2009-09-11,IBM,SELL,Short
32,2009-09-16,IBM,BUY,Short
33,2009-09-29,IBM,SELL,Long
34,2009-10-09,IBM,BUY,Short
35,2009-10-16,IBM,SELL,Long
36,2009-12-10,IBM,BUY,Short
37,2009-12-17,IBM,SELL,Long
38,2009-12-28,IBM,BUY,Short
