,IBM,change,gain,loss,rm_gain,rm_loss,rs,rsi
2007-12-31,99.27,,0.0,0.0,,,,
2008-01-02,96.14,3.13,3.13,0.0,,,,
2008-01-03,96.34,-0.2,0.0,0.2,,,,
2008-01-04,92.87,3.47,3.47,0.0,,,,
2008-01-07,91.88,0.99,0.99,0.0,,,,
2008-01-08,89.62,2.26,2.26,0.0,,,,
2008-01-09,90.28,-0.66,0.0,0.66,,,,
2008-01-10,91.76,-1.48,0.0,1.48,,,,
2008-01-11,89.7,2.06,2.06,0.0,,,,
2008-01-14,94.53,-4.83,0.0,4.83,,,,
2008-01-15,93.52,1.01,1.01,0.0,,,,
2008-01-16,93.33,0.19,0.19,0.0,,,,
2008-01-17,92.85,0.48,0.48,0.0,,,,
2008-01-18,94.96,-2.11,0.0,2.11,0.970714285714,0.662857142857,1.46443965517,59.4228246611
2008-01-22,92.96,2.0,2.0,0.0,1.11357142857,0.662857142857,1.67995689655,62.6859670285
2008-01-23,97.44,-4.48,0.0,4.48,0.89,0.982857142857,0.905523255814,47.5209763539
2008-01-24,98.18,-0.74,0.0,0.74,0.89,1.02142857143,0.871328671329,46.5620328849
2008-01-25,95.99,2.19,2.19,0.0,0.798571428571,1.02142857143,0.781818181818,43.8775510204
2008-01-28,96.41,-0.42,0.0,0.42,0.727857142857,1.05142857143,0.692255434783,40.9072661582
2008-01-29,97.44,-1.03,0.0,1.03,0.566428571429,1.125,0.503492063492,33.4881756757
2008-01-30,97.02,0.42,0.42,0.0,0.596428571429,1.07785714286,0.553346587144,35.6228668942
2008-01-31,98.36,-1.34,0.0,1.34,0.596428571429,1.06785714286,0.558528428094,35.8369098712
2008-02-01,100.17,-1.81,0.0,1.81,0.449285714286,1.19714285714,0.375298329356,27.2885032538
2008-02-04,99.12,1.05,1.05,0.0,0.524285714286,0.852142857143,0.615255658005,38.0902957966
2008-02-05,96.45,2.67,2.67,0.0,0.642857142857,0.852142857143,0.754400670578,43.0004777831
2008-02-06,95.5,0.95,0.95,0.0,0.697142857143,0.852142857143,0.818105616094,44.9976947902
2008-02-07,94.34,1.16,1.16,0.0,0.745714285714,0.852142857143,0.875104777871,46.6696468485
2008-02-08,95.2,-0.86,0.0,0.86,0.745714285714,0.762857142857,0.977528089888,49.4318181818
2008-02-11,96.92,-1.72,0.0,1.72,0.602857142857,0.885714285714,0.68064516129,40.4990403071
2008-02-12,98.21,-1.29,0.0,1.29,0.602857142857,0.657857142857,0.916395222584,47.8186968839
2008-02-13,99.95,-1.74,0.0,1.74,0.602857142857,0.729285714286,0.826640548482,45.254691689
2008-02-14,97.84,2.11,2.11,0.0,0.597142857143,0.729285714286,0.818805093046,45.0188476037
2008-02-15,97.87,-0.03,0.0,0.03,0.597142857143,0.701428571429,0.851323828921,45.9845984598
2008-02-19,96.8,1.07,1.07,0.0,0.673571428571,0.627857142857,1.07281001138,51.7563117453
2008-02-20,99.42,-2.62,0.0,2.62,0.643571428571,0.815,0.789658194566,44.1234084231
2008-02-21,98.57,0.85,0.85,0.0,0.704285714286,0.719285714286,0.979145978153,49.4731560462
2008-02-22,99.63,-1.06,0.0,1.06,0.704285714286,0.665714285714,1.05793991416,51.4077163712
2008-02-25,101.48,-1.85,0.0,1.85,0.629285714286,0.797857142857,0.788719785139,44.0940940941
2008-02-26,105.44,-3.96,0.0,3.96,0.438571428571,1.08071428571,0.405816259088,28.8669487541
2008-02-27,107.36,-1.92,0.0,1.92,0.370714285714,1.21785714286,0.304398826979,23.3363309353
2008-02-28,106.24,1.12,1.12,0.0,0.367857142857,1.21785714286,0.302052785924,23.1981981982
2008-02-29,104.96,1.28,1.28,0.0,0.459285714286,1.15642857143,0.397158739963,28.4261715296
2008-03-03,105.3,-0.34,0.0,0.34,0.459285714286,1.05785714286,0.434166103984,30.2730696798
2008-03-04,106.67,-1.37,0.0,1.37,0.459285714286,1.06357142857,0.431833445265,30.1594746717
2008-03-05,106.37,0.3,0.3,0.0,0.480714285714,0.939285714286,0.511787072243,33.8531187123
2008-03-06,103.73,2.64,2.64,0.0,0.518571428571,0.939285714286,0.552091254753,35.5707986281
2008-03-07,105.04,-1.31,0.0,1.31,0.518571428571,1.03071428571,0.503118503119,33.4716459198
2008-03-10,105.1,-0.06,0.0,0.06,0.442142857143,1.035,0.427191166322,29.9323017408
2008-03-11,107.39,-2.29,0.0,2.29,0.442142857143,1.01142857143,0.437146892655,30.4176904177
2008-03-12,107.92,-0.53,0.0,0.53,0.381428571429,1.04928571429,0.363512593601,26.660009985
2008-03-13,106.85,1.07,1.07,0.0,0.457857142857,0.973571428571,0.470286133529,31.9860279441
