Date,Symbol,Order,Shares
2010-02-04,IBM,BUY,100
2010-02-19,IBM,SELL,100
2010-02-25,IBM,SELL,100
2010-03-04,IBM,BUY,100
2010-05-07,IBM,BUY,100
2010-05-13,IBM,SELL,100
2010-08-09,IBM,SELL,100
2010-08-11,IBM,BUY,100
2010-08-24,IBM,BUY,100
2010-09-02,IBM,SELL,100
2010-09-16,IBM,SELL,100
2010-10-19,IBM,BUY,100
2010-11-08,IBM,SELL,100
2010-11-16,IBM,BUY,100
2011-01-03,IBM,SELL,100
2011-01-04,IBM,BUY,100
2011-01-06,IBM,SELL,100
2011-01-11,IBM,BUY,100
2011-01-14,IBM,SELL,100
2011-02-14,IBM,BUY,100
2011-02-17,IBM,SELL,100
2011-02-22,IBM,BUY,100
2011-03-01,IBM,BUY,100
2011-03-04,IBM,SELL,100
2011-04-05,IBM,SELL,100
2011-04-19,IBM,BUY,100
2011-04-21,IBM,SELL,100
2011-05-05,IBM,BUY,100
2011-06-02,IBM,BUY,100
2011-06-22,IBM,SELL,100
2011-06-30,IBM,SELL,100
2011-07-26,IBM,BUY,100
2011-08-08,IBM,BUY,100
2011-08-16,IBM,SELL,100
2011-09-29,IBM,SELL,100
2011-10-03,IBM,BUY,100
2011-10-12,IBM,SELL,100
2011-10-17,IBM,BUY,100
