,Date,Symbol,RSI_Strat,Type,Order
0,2010-03-01,IBM,BUY,Short,SELL
1,2010-03-02,IBM,SELL,Short,BUY
2,2010-08-02,IBM,BUY,Short,SELL
3,2010-08-03,IBM,SELL,Short,BUY
4,2010-09-22,IBM,BUY,Short,SELL
5,2010-09-23,IBM,SELL,Short,BUY
6,2010-09-24,IBM,BUY,Short,SELL
7,2010-10-19,IBM,SELL,Short,BUY
8,2010-10-21,IBM,BUY,Short,SELL
9,2010-10-22,IBM,SELL,Short,BUY
10,2010-10-28,IBM,BUY,Short,SELL
11,2010-11-11,IBM,SELL,Short,BUY
12,2010-11-19,IBM,BUY,Short,SELL
13,2010-11-23,IBM,SELL,Short,BUY
14,2011-01-13,IBM,BUY,Short,SELL
15,2011-02-22,IBM,SELL,Short,BUY
16,2011-04-13,IBM,BUY,Short,SELL
17,2011-05-05,IBM,SELL,Short,BUY
18,2011-05-12,IBM,BUY,Short,SELL
19,2011-05-13,IBM,SELL,Short,BUY
20,2011-06-10,IBM,BUY,Long,BUY
21,2011-06-22,IBM,SELL,Long,SELL
22,2011-07-01,IBM,BUY,Short,SELL
23,2011-08-01,IBM,SELL,Short,BUY
24,2011-09-19,IBM,BUY,Short,SELL
25,2011-09-21,IBM,SELL,Short,BUY
26,2011-10-07,IBM,BUY,Short,SELL
27,2011-10-17,IBM,SELL,Short,BUY
