,SPY,predY_returns
2009-12-31,106.47,
2010-01-04,108.27,
2010-01-05,108.56,
2010-01-06,108.64,
2010-01-07,109.1,
2010-01-08,109.46,0.0357864281427
2010-01-11,109.61,0.0403179272529
2010-01-12,108.59,0.0429629173168
2010-01-13,109.51,0.04362790814
2010-01-14,109.8,0.0423242254282
2010-01-15,108.57,0.0391594801554
2010-01-19,109.93,0.034323527606
2010-01-20,108.81,0.0280713587741
2010-01-21,106.72,0.0207051702605
2010-01-22,104.34,0.0125573752411
2010-01-25,104.87,0.00397556884115
2010-01-26,104.43,-0.00469004732858
2010-01-27,104.93,-0.0130969469558
2010-01-28,103.73,-0.0209186441222
2010-01-29,102.6,-0.0278518554325
2010-02-01,104.19,-0.0336231110542
2010-02-02,105.46,-0.0379954909098
2010-02-03,104.93,-0.0407759164017
2010-02-04,101.69,-0.0418232311193
2010-02-05,101.9,-0.0410568759463
2010-02-08,101.17,-0.0384656630161
2010-02-09,102.44,-0.0341155743964
2010-02-10,102.24,-0.028155258784
2010-02-11,103.31,-0.0208175512382
2010-02-12,103.22,-0.0124154151676
2010-02-16,104.84,-0.00333108669487
2010-02-17,105.34,0.00600198037261
2010-02-18,105.96,0.015123659918
2010-02-19,106.18,0.0235762382806
2010-02-22,106.2,0.0309349887242
2010-02-23,104.91,0.0368367600435
2010-02-24,105.88,0.0410031365275
2010-02-25,105.73,0.0432557267775
2010-02-26,105.8,0.0435223629777
2010-03-01,106.9,0.0418345497295
2010-03-02,107.19,0.0383176264503
2010-03-03,107.29,0.033175912852
2010-03-04,107.62,0.0266752775826
2010-03-05,109.15,0.0191252815505
2010-03-08,109.17,0.0108625009658
2010-03-09,109.35,0.00223598501682
2010-03-10,109.84,-0.00640485163007
2010-03-11,110.3,-0.0147200683499
2010-03-12,110.31,-0.0223872848811
2010-03-15,110.34,-0.0291086580891
2010-03-16,111.22,-0.034617486993
2010-03-17,111.88,-0.0386850205664
2010-03-18,111.82,-0.041127906944
2010-03-19,110.8,-0.041816413239
2010-03-22,111.39,-0.0406831848476
2010-03-23,112.17,-0.0377319112157
2010-03-24,111.63,-0.0330447909145
2010-03-25,111.45,-0.0267873672979
2010-03-26,111.38,-0.0192090447625
2010-03-29,112.09,-0.0106377583248
2010-03-30,112.16,-0.00146767242553
2010-03-31,111.78,0.00786027126121
2010-04-01,112.55,0.0168840066001
2010-04-05,113.46,0.0251499837082
2010-04-06,113.73,0.0322436500959
2010-04-07,113.08,0.0378171871964
2010-04-08,113.47,0.0416112700275
2010-04-09,114.22,0.0434685713738
2010-04-12,114.4,0.0433381530421
2010-04-13,114.48,0.0412712858229
2010-04-14,115.78,0.037410431015
2010-04-15,115.88,0.0319736738834
2010-04-16,114.04,0.0252370405828
2010-04-19,114.47,0.0175167761255
2010-04-20,115.49,0.0091530426631
2010-04-21,115.28,0.000495857224578
2010-04-22,115.62,-0.00810654320474
2010-04-23,116.38,-0.0163171319993
2010-04-26,115.94,-0.0238179035115
2010-04-27,113.19,-0.0303167238835
2010-04-28,114.05,-0.0355539293435
2010-04-29,115.47,-0.0393092389888
2010-04-30,113.51,-0.0414093555688
2010-05-03,114.98,-0.0417363262524
2010-05-04,112.28,-0.040236349271
2010-05-05,111.61,-0.0369282952981
2010-05-06,107.9,-0.0319107801606
