Date,Symbol,Order,Shares,Type,Strat
2010-01-04,IBM,BUY,100,Entry,Long
2010-01-08,IBM,SELL,100,Exit,Long
2010-01-11,IBM,SELL,100,Entry,Short
2010-01-15,IBM,BUY,100,Exit,Short
2010-01-19,IBM,SELL,100,Entry,Short
2010-01-25,IBM,BUY,100,Exit,Short
2010-01-26,IBM,SELL,100,Entry,Short
2010-02-01,IBM,BUY,100,Exit,Short
2010-02-09,IBM,BUY,100,Entry,Long
2010-02-16,IBM,SELL,100,Exit,Long
2010-03-03,IBM,BUY,100,Entry,Long
2010-03-09,IBM,SELL,100,Exit,Long
2010-04-08,IBM,SELL,100,Entry,Short
2010-04-14,IBM,BUY,100,Exit,Short
2010-04-29,IBM,BUY,100,Entry,Long
2010-05-05,IBM,SELL,100,Exit,Long
2010-05-06,IBM,SELL,100,Entry,Short
2010-05-12,IBM,BUY,100,Exit,Short
2010-05-27,IBM,SELL,100,Entry,Short
2010-06-03,IBM,BUY,100,Exit,Short
2010-06-04,IBM,BUY,100,Entry,Long
2010-06-10,IBM,SELL,100,Exit,Long
2010-06-11,IBM,SELL,100,Entry,Short
2010-06-17,IBM,BUY,100,Exit,Short
2010-06-25,IBM,BUY,100,Entry,Long
2010-07-01,IBM,SELL,100,Exit,Long
2010-07-02,IBM,SELL,100,Entry,Short
2010-07-09,IBM,BUY,100,Exit,Short
2010-07-12,IBM,BUY,100,Entry,Long
2010-07-16,IBM,SELL,100,Exit,Long
2010-07-19,IBM,BUY,100,Entry,Long
2010-07-23,IBM,SELL,100,Exit,Long
2010-08-02,IBM,BUY,100,Entry,Long
2010-08-06,IBM,SELL,100,Exit,Long
2010-08-09,IBM,BUY,100,Entry,Long
2010-08-13,IBM,SELL,100,Exit,Long
2010-08-16,IBM,BUY,100,Entry,Long
2010-08-20,IBM,SELL,100,Exit,Long
2010-11-02,IBM,SELL,100,Entry,Short
2010-11-08,IBM,BUY,100,Exit,Short
2010-11-09,IBM,BUY,100,Entry,Long
2010-11-15,IBM,SELL,100,Exit,Long
2010-11-16,IBM,SELL,100,Entry,Short
2010-11-22,IBM,BUY,100,Exit,Short
2010-11-23,IBM,BUY,100,Entry,Long
2010-11-30,IBM,SELL,100,Exit,Long
2011-01-06,IBM,SELL,100,Entry,Short
2011-01-12,IBM,BUY,100,Exit,Short
2011-01-13,IBM,SELL,100,Entry,Short
2011-01-20,IBM,BUY,100,Exit,Short
2011-02-18,IBM,BUY,100,Entry,Long
2011-02-25,IBM,SELL,100,Exit,Long
2011-02-28,IBM,BUY,100,Entry,Long
2011-03-04,IBM,SELL,100,Exit,Long
2011-03-07,IBM,BUY,100,Entry,Long
2011-03-11,IBM,SELL,100,Exit,Long
2011-03-14,IBM,BUY,100,Entry,Long
2011-03-18,IBM,SELL,100,Exit,Long
2011-05-03,IBM,BUY,100,Entry,Long
2011-05-09,IBM,SELL,100,Exit,Long
2011-05-17,IBM,BUY,100,Entry,Long
2011-05-23,IBM,SELL,100,Exit,Long
2011-06-01,IBM,BUY,100,Entry,Long
2011-06-07,IBM,SELL,100,Exit,Long
2011-06-29,IBM,SELL,100,Entry,Short
2011-07-06,IBM,BUY,100,Exit,Short
2011-07-07,IBM,BUY,100,Entry,Long
2011-07-13,IBM,SELL,100,Exit,Long
2011-07-14,IBM,SELL,100,Entry,Short
2011-07-20,IBM,BUY,100,Exit,Short
2011-07-21,IBM,BUY,100,Entry,Long
2011-07-27,IBM,SELL,100,Exit,Long
2011-07-28,IBM,BUY,100,Entry,Long
2011-08-03,IBM,SELL,100,Exit,Long
2011-08-04,IBM,BUY,100,Entry,Long
2011-08-10,IBM,SELL,100,Exit,Long
2011-08-11,IBM,SELL,100,Entry,Short
2011-08-17,IBM,BUY,100,Exit,Short
2011-08-18,IBM,BUY,100,Entry,Long
2011-08-24,IBM,SELL,100,Exit,Long
2011-08-25,IBM,SELL,100,Entry,Short
2011-08-31,IBM,BUY,100,Exit,Short
2011-09-01,IBM,BUY,100,Entry,Long
2011-09-08,IBM,SELL,100,Exit,Long
2011-09-09,IBM,SELL,100,Entry,Short
2011-09-15,IBM,BUY,100,Exit,Short
2011-09-16,IBM,BUY,100,Entry,Long
2011-09-22,IBM,SELL,100,Exit,Long
2011-09-23,IBM,SELL,100,Entry,Short
2011-09-29,IBM,BUY,100,Exit,Short
2011-10-07,IBM,SELL,100,Entry,Short
2011-10-13,IBM,BUY,100,Exit,Short
2011-10-14,IBM,BUY,100,Entry,Long
2011-10-20,IBM,SELL,100,Exit,Long
2011-11-04,IBM,BUY,100,Entry,Long
2011-11-10,IBM,SELL,100,Exit,Long
2011-11-11,IBM,BUY,100,Entry,Long
2011-11-17,IBM,SELL,100,Exit,Long
2011-11-18,IBM,BUY,100,Entry,Long
2011-11-25,IBM,SELL,100,Exit,Long
2011-11-28,IBM,SELL,100,Entry,Short
2011-12-02,IBM,BUY,100,Exit,Short
2011-12-12,IBM,BUY,100,Entry,Long
2011-12-16,IBM,SELL,100,Exit,Long
