Date,Symbol,Order,Shares,Type,Strat
2008-01-09,IBM,BUY,100,Entry,Long
2008-01-15,IBM,SELL,100,Exit,Long
2008-01-24,IBM,SELL,100,Entry,Short
2008-01-30,IBM,BUY,100,Exit,Short
2008-01-31,IBM,BUY,100,Entry,Long
2008-02-06,IBM,SELL,100,Exit,Long
2008-02-14,IBM,BUY,100,Entry,Long
2008-02-21,IBM,SELL,100,Exit,Long
2008-02-22,IBM,SELL,100,Entry,Short
2008-02-28,IBM,BUY,100,Exit,Short
2008-03-14,IBM,SELL,100,Entry,Short
2008-03-20,IBM,BUY,100,Exit,Short
2008-03-24,IBM,BUY,100,Entry,Long
2008-03-28,IBM,SELL,100,Exit,Long
2008-04-07,IBM,BUY,100,Entry,Long
2008-04-11,IBM,SELL,100,Exit,Long
2008-04-14,IBM,SELL,100,Entry,Short
2008-04-18,IBM,BUY,100,Exit,Short
2008-05-12,IBM,SELL,100,Entry,Short
2008-05-16,IBM,BUY,100,Exit,Short
2008-06-03,IBM,SELL,100,Entry,Short
2008-06-09,IBM,BUY,100,Exit,Short
2008-06-10,IBM,SELL,100,Entry,Short
2008-06-16,IBM,BUY,100,Exit,Short
2008-06-24,IBM,BUY,100,Entry,Long
2008-06-30,IBM,SELL,100,Exit,Long
2008-07-09,IBM,BUY,100,Entry,Long
2008-07-15,IBM,SELL,100,Exit,Long
2008-07-16,IBM,SELL,100,Entry,Short
2008-07-22,IBM,BUY,100,Exit,Short
2008-07-30,IBM,SELL,100,Entry,Short
2008-08-05,IBM,BUY,100,Exit,Short
2008-08-06,IBM,SELL,100,Entry,Short
2008-08-12,IBM,BUY,100,Exit,Short
2008-08-20,IBM,BUY,100,Entry,Long
2008-08-26,IBM,SELL,100,Exit,Long
2008-08-27,IBM,BUY,100,Entry,Long
2008-09-03,IBM,SELL,100,Exit,Long
2008-09-11,IBM,SELL,100,Entry,Short
2008-09-17,IBM,BUY,100,Exit,Short
2008-09-18,IBM,SELL,100,Entry,Short
2008-09-24,IBM,BUY,100,Exit,Short
