Date,Symbol,Order,Shares,Type
2010-01-04,ML4T-220,BUY,100,Entry
2010-01-08,ML4T-220,SELL,100,Exit
2010-01-11,ML4T-220,BUY,100,Entry
2010-01-15,ML4T-220,SELL,100,Exit
2010-01-26,ML4T-220,SELL,100,Entry
2010-02-01,ML4T-220,BUY,100,Exit
2010-02-02,ML4T-220,SELL,100,Entry
2010-02-08,ML4T-220,BUY,100,Exit
2010-02-17,ML4T-220,BUY,100,Entry
2010-02-23,ML4T-220,SELL,100,Exit
2010-02-24,ML4T-220,BUY,100,Entry
2010-03-02,ML4T-220,SELL,100,Exit
2010-03-10,ML4T-220,SELL,100,Entry
2010-03-16,ML4T-220,BUY,100,Exit
2010-03-17,ML4T-220,SELL,100,Entry
2010-03-23,ML4T-220,BUY,100,Exit
2010-03-31,ML4T-220,BUY,100,Entry
2010-04-07,ML4T-220,SELL,100,Exit
2010-04-08,ML4T-220,BUY,100,Entry
2010-04-14,ML4T-220,SELL,100,Exit
2010-04-22,ML4T-220,SELL,100,Entry
2010-04-28,ML4T-220,BUY,100,Exit
2010-04-29,ML4T-220,SELL,100,Entry
2010-05-05,ML4T-220,BUY,100,Exit
2010-05-13,ML4T-220,BUY,100,Entry
2010-05-19,ML4T-220,SELL,100,Exit
2010-05-20,ML4T-220,BUY,100,Entry
2010-05-26,ML4T-220,SELL,100,Exit
2010-06-04,ML4T-220,SELL,100,Entry
2010-06-10,ML4T-220,BUY,100,Exit
2010-06-11,ML4T-220,SELL,100,Entry
2010-06-17,ML4T-220,BUY,100,Exit
2010-06-25,ML4T-220,BUY,100,Entry
2010-07-01,ML4T-220,SELL,100,Exit
2010-07-02,ML4T-220,BUY,100,Entry
2010-07-09,ML4T-220,SELL,100,Exit
2010-07-19,ML4T-220,SELL,100,Entry
2010-07-23,ML4T-220,BUY,100,Exit
2010-07-26,ML4T-220,SELL,100,Entry
2010-07-30,ML4T-220,BUY,100,Exit
