Date,Symbol,Order,Shares
2009-01-12,IBM,BUY,100
2009-01-14,IBM,SELL,100
2009-01-16,IBM,BUY,100
2009-01-20,IBM,SELL,100
2009-01-21,IBM,BUY,100
2009-01-23,IBM,SELL,100
2009-01-27,IBM,BUY,100
2009-01-30,IBM,SELL,100
2009-02-02,IBM,BUY,100
2009-02-04,IBM,SELL,100
2009-02-05,IBM,BUY,100
2009-02-13,IBM,SELL,100
2009-02-27,IBM,BUY,100
2009-03-03,IBM,SELL,100
2009-03-04,IBM,BUY,100
2009-03-05,IBM,SELL,100
2009-03-12,IBM,BUY,100
2009-03-18,IBM,SELL,100
2009-03-23,IBM,BUY,100
2009-03-25,IBM,SELL,100
2009-03-26,IBM,BUY,100
2009-03-30,IBM,SELL,100
2009-03-31,IBM,BUY,100
2009-04-08,IBM,SELL,100
2009-04-09,IBM,BUY,100
2009-04-13,IBM,SELL,100
2009-04-14,IBM,BUY,100
2009-04-15,IBM,SELL,100
2009-04-17,IBM,BUY,100
2009-04-20,IBM,SELL,100
2009-04-21,IBM,BUY,100
2009-04-24,IBM,SELL,100
2009-04-27,IBM,BUY,100
2009-04-28,IBM,SELL,100
2009-04-29,IBM,BUY,100
2009-04-30,IBM,SELL,100
2009-05-04,IBM,BUY,100
2009-05-06,IBM,SELL,100
2009-05-07,IBM,BUY,100
2009-05-08,IBM,SELL,100
2009-05-12,IBM,BUY,100
2009-05-13,IBM,SELL,100
2009-05-15,IBM,BUY,100
2009-05-19,IBM,SELL,100
2009-05-21,IBM,BUY,100
2009-05-26,IBM,SELL,100
2009-05-28,IBM,BUY,100
2009-06-04,IBM,SELL,100
2009-06-09,IBM,BUY,100
2009-06-12,IBM,SELL,100
2009-06-16,IBM,BUY,100
2009-06-22,IBM,SELL,100
2009-06-25,IBM,BUY,100
2009-06-26,IBM,SELL,100
2009-07-01,IBM,BUY,100
2009-07-02,IBM,SELL,100
2009-07-08,IBM,BUY,100
2009-07-10,IBM,SELL,100
2009-07-15,IBM,BUY,100
2009-07-22,IBM,SELL,100
2009-07-27,IBM,BUY,100
2009-07-29,IBM,SELL,100
2009-08-05,IBM,BUY,100
2009-08-06,IBM,SELL,100
2009-08-10,IBM,BUY,100
2009-08-11,IBM,SELL,100
2009-08-12,IBM,BUY,100
2009-08-13,IBM,SELL,100
2009-08-14,IBM,BUY,100
2009-08-17,IBM,SELL,100
2009-08-18,IBM,BUY,100
2009-08-27,IBM,SELL,100
2009-08-28,IBM,BUY,100
2009-09-01,IBM,SELL,100
2009-09-03,IBM,BUY,100
2009-09-09,IBM,SELL,100
2009-09-14,IBM,BUY,100
2009-09-15,IBM,SELL,100
2009-09-16,IBM,BUY,100
2009-09-17,IBM,SELL,100
2009-09-18,IBM,BUY,100
2009-09-21,IBM,SELL,100
2009-09-23,IBM,BUY,100
2009-09-24,IBM,SELL,100
2009-10-08,IBM,BUY,100
2009-10-13,IBM,SELL,100
2009-10-19,IBM,BUY,100
2009-10-23,IBM,SELL,100
2009-10-28,IBM,BUY,100
2009-11-02,IBM,SELL,100
2009-11-03,IBM,BUY,100
2009-11-06,IBM,SELL,100
2009-11-09,IBM,BUY,100
2009-11-11,IBM,SELL,100
2009-11-18,IBM,BUY,100
2009-11-20,IBM,SELL,100
2009-11-23,IBM,BUY,100
2009-11-25,IBM,SELL,100
2009-11-27,IBM,BUY,100
2009-12-04,IBM,SELL,100
2009-12-10,IBM,BUY,100
2009-12-11,IBM,SELL,100
2009-12-14,IBM,BUY,100
2009-12-18,IBM,SELL,100
2009-12-21,IBM,BUY,100
